,Open,High,Low,Close,Volume,Dividends,Stock Splits
495072000000,0.0535323061,0.0539710668,0.0535323061,0.0535323061,132316800,0.0,0.0
495158400000,0.0539710782,0.0548486057,0.0539710782,0.0539710782,121766400,0.0,0.0
495244800000,0.0544098467,0.0548486075,0.0544098467,0.0544098467,87091200,0.0,0.0
495331200000,0.0566044338,0.0566044338,0.0566044338,0.0566044338,111171200,0.0,0.0
495417600000,0.056604464,0.056604464,0.0552881695,0.0552881695,70537600,0.0,0.0
495676800000,0.0552881458,0.0552881458,0.0535323061,0.0535323061,36982400,0.0,0.0
495763200000,0.0535323061,0.0535323061,0.0535323061,0.0535323061,183747200,0.0,0.0
495849600000,0.0570432097,0.0570432097,0.0570432097,0.0570432097,120086400,0.0,0.0
495936000000,0.0596757904,0.0596757904,0.0596757904,0.0596757904,186323200,0.0,0.0
496022400000,0.0596757846,0.0601145512,0.0587982573,0.0587982573,135228800,0.0,0.0
496281600000,0.0592370108,0.0601145379,0.0592370108,0.0592370108,118585600,0.0,0.0
496368000000,0.0592370637,0.0605533527,0.0579207689,0.0579207689,88099200,0.0,0.0
496454400000,0.0579207156,0.0579207156,0.0557269007,0.0557269007,104496000,0.0,0.0
496540800000,0.0557269007,0.0561656613,0.0557269007,0.0557269007,53491200,0.0,0.0
496886400000,0.0557269363,0.0561656972,0.0552881695,0.0552881695,36646400,0.0,0.0
496972800000,0.0552881695,0.0557269363,0.0552881695,0.0552881695,88345600,0.0,0.0
497059200000,0.0552881406,0.0557269071,0.054848589,0.054848589,21504000,0.0,0.0
497145600000,0.0548486075,0.0548486075,0.0544098467,0.0544098467,48921600,0.0,0.0
497232000000,0.0544098505,0.0544098505,0.0526547953,0.0526547953,69529600,0.0,0.0
497491200000,0.0526547953,0.0535323229,0.0526547953,0.0526547953,91929600,0.0,0.0
497577600000,0.0530935489,0.0530935489,0.0530935489,0.0530935489,86979200,0.0,0.0
497664000000,0.0530935562,0.0535323229,0.0526547953,0.0526547953,82812800,0.0,0.0
497750400000,0.0557269007,0.0561656613,0.0557269007,0.0557269007,261744000,0.0,0.0
